baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CPAR2_100030	1851.52655331423	-0.681589604959336	0.454736741604685	-1.49886636068625	0.133908304764851	0.4910954348755
CPAR2_100040	3696.12778602274	-0.368583502645769	0.367679742739489	-1.00245800842751	0.31612243764132	0.685938999139181
CPAR2_100050	4085.94454107497	0.408980339571818	0.335623947855364	1.21856721543621	0.223008498719958	0.596960048824324
CPAR2_100060	1213.15470335422	-0.102544652566528	0.474366495494062	-0.21617178603587	0.828853845079435	0.956148950617039
CPAR2_100070	128.835929911641	0.157535065545236	0.574064362401257	0.274420563029346	0.783761442330701	0.940331971305546
CPAR2_100080	34.5159740432462	-1.52153789326833	1.20476700602648	-1.26293124368222	0.206613890412375	0.582269677356686
CPAR2_100090	6651.74029951061	1.36670284189206	0.508421634408183	2.68812880766363	0.00718536734752043	0.104031622901057
CPAR2_100100	780.677386255188	-1.21164897731159	0.81153303920481	-1.49303715163444	0.135427462248466	0.494530618640137
CPAR2_100120	1153.44800447031	0.738718335262981	0.37534235741888	1.96811876054419	0.0490543747435466	0.308959449228791
CPAR2_100130	3173.09997176172	-1.45436941241926	0.550795797957875	-2.64048748703507	0.00827868497202672	0.112983692446102
CPAR2_100140	3013.21436507776	0.0481045618040682	0.310210917964854	0.155070498871088	0.876765739308834	0.966997014631249
CPAR2_100150	967.498900769962	-0.167591176590825	0.366694753034518	-0.457031836981449	0.647648162247945	0.886787985314825
CPAR2_100160	856.472143263898	-0.521066151284738	0.42276718468075	-1.2325132369917	0.21775742503888	0.592105791001199
CPAR2_100170	689.467600251643	-0.754101552399962	0.461935868128982	-1.63248105295301	0.102578186692392	0.43636717278844
CPAR2_100180	4151.33628192155	-0.0474310438093849	0.327096099062937	-0.145006449007693	0.88470578003827	0.967246128000444
CPAR2_100190	1287.99827807895	0.262131817793859	0.615600727513421	0.425814665380077	0.670242899789049	0.897205289491632
CPAR2_100200	2692.20544936738	-0.126715903249798	0.634887240679559	-0.199588045137222	0.84180277826424	0.95793431328432
CPAR2_100210	2319.97861190625	0.862421584791467	0.517229671351918	1.66738613919286	0.0954376482093445	0.424120153741705
CPAR2_100220	1089.96714774077	0.62357925029769	0.55463741697442	1.12430072550704	0.260885470703136	0.635050158948422
CPAR2_100230	629.209191810814	-0.689475397073927	0.668896391583219	-1.03076560996539	0.302650748888107	0.674582994509637
CPAR2_100240	913.494118773695	0.201359554804026	0.700225002721879	0.287564074435091	0.773680448181021	0.933846875878391
CPAR2_100250	3873.43676328169	-0.557427532041243	0.32634376777776	-1.70809921034205	0.0876179354183847	0.404050957353114
CPAR2_100260	2416.30155995315	-0.161264778503216	0.414565315487145	-0.388997276131791	0.697278161350236	0.90406848262795
CPAR2_100280	608.975349426378	-0.818495884760057	0.465664873953604	-1.75769299026322	0.0787997612050869	0.383466620924161
CPAR2_100290	850.102106232666	0.210650902333571	0.565027492478474	0.372815314542587	0.709285903928063	0.908104195266248
CPAR2_100300	861.859155785291	-1.3784999350234	0.496173225605537	-2.7782634448706	0.00546502896379073	0.0885050282243311
CPAR2_100320	23501.9437474799	0.654403101853573	0.645429234811403	1.01390371950659	0.310628696382373	0.681110534339521
CPAR2_100330	910.217587882652	-0.420915964517776	0.359713270963592	-1.17014299580951	0.241943428268926	0.615329645724688
CPAR2_100340	196.302269576075	-3.97781684245037	0.964813853350923	-4.12288528884084	3.74156050677799e-05	0.00233613684141951
CPAR2_100350	47.4806413504984	3.36880171314443	1.91343952884821	1.76060004110622	0.0783061216805813	0.382651474533216
CPAR2_100360	4793.19760820707	0.513026435266273	0.426839427818223	1.20191903988015	0.229394896832419	0.603731925794273
CPAR2_100370	160.638087161132	-1.45183615967802	0.690841574201816	-2.10154717650779	0.0355929612681933	0.259000223749641
CPAR2_100380	3590.07782924491	0.350069368007035	0.445331279204324	0.786087536075404	0.431816205782565	0.771636645994535
CPAR2_100410	1662.44275336477	0.80442955576182	0.395528278802431	2.03381047291346	0.0419707081965651	0.285717584151489
CPAR2_100420	504.795906468038	-0.197721051976009	0.472691362572951	-0.418287846216979	0.675736674644186	0.898882740305649
CPAR2_100430	1224.86413914831	0.109452117500028	0.336431854889832	0.325332205940692	0.74492965863796	0.922619301982795
CPAR2_100440	238.720555300908	0.132516854524648	0.635122775081507	0.208647618576805	0.834723334341768	0.956491744257415
CPAR2_100450	308.116120207244	-0.0717793665090802	0.504722739590393	-0.142215440040076	0.886909836360204	0.967357507093208
CPAR2_100460	347.432022129012	-1.56031398761152	0.482196398419351	-3.23584745287657	0.00121282180640979	0.0322455711444178
CPAR2_100490	1017.88188417225	-2.65972359258583	0.720206887652934	-3.69299938418187	0.000221624559979036	0.0103459315616382
CPAR2_100500	2463.7822716564	0.657855399694607	0.418957629864428	1.57021940358858	0.116364076907658	0.460569385224843
CPAR2_100510	17.6443347015373	-0.634245214165205	1.19288248875601	-0.531691277341679	0.594939834222963	0.860621046030612
CPAR2_100520	182.801978276269	-0.107989017637802	0.495479794964896	-0.21794837798674	0.827469332877069	0.956148950617039
CPAR2_100530	9843.86720455347	-0.414431554968615	0.378004659083248	-1.09636626165855	0.27291852242029	0.647922062494937
